Date;Open;High;Low;Close;Volume
2024.11.05 04:45;2726.25;2728.87;2724.71;2728.4;1336
2024.11.05 05:00;2728.39;2730.67;2727.94;2729.27;1145
2024.11.05 05:15;2729.27;2730.51;2727.71;2730.3;999
2024.11.05 05:30;2730.32;2734.27;2729.99;2733.81;899
2024.11.05 05:45;2733.8;2735.95;2733.33;2735.32;976
2024.11.05 06:00;2735.32;2735.98;2734.87;2735.16;671
2024.11.05 06:15;2735.17;2736.39;2734.72;2735.38;672
2024.11.05 06:30;2735.3;2735.39;2733.13;2734.98;787
2024.11.05 06:45;2734.97;2735.43;2733.86;2734.45;564
2024.11.05 07:00;2734.42;2735.41;2733.94;2735.28;835
2024.11.05 07:15;2735.28;2736.53;2735.28;2735.72;737
2024.11.05 07:30;2735.74;2737.22;2735.17;2735.37;1212
2024.11.05 07:45;2735.53;2735.53;2731.97;2732.56;1149
2024.11.05 08:00;2732.56;2734.7;2731.7;2733.88;1177
2024.11.05 08:15;2733.93;2734.92;2733.08;2734.07;1088
2024.11.05 08:30;2734.07;2738.27;2733.76;2737.79;1266
2024.11.05 08:45;2737.83;2738.77;2737.18;2737.82;1154
2024.11.05 09:00;2737.82;2740.94;2737.17;2740.66;1011
2024.11.05 09:15;2740.66;2741.32;2739.38;2740.8;924
2024.11.05 09:30;2740.81;2740.81;2736.19;2736.42;903
2024.11.05 09:45;2736.41;2737.1;2735.12;2736.46;1043
2024.11.05 10:00;2736.3;2736.37;2732.09;2732.39;1240
2024.11.05 10:15;2732.39;2736.4;2732.23;2736.03;1177
2024.11.05 10:30;2736.05;2739.92;2735.81;2738.93;1057
2024.11.05 10:45;2738.92;2743.26;2738.92;2742.53;1226
2024.11.05 11:00;2742.54;2744.86;2741.74;2744.68;1195
2024.11.05 11:15;2744.67;2744.9;2742.46;2742.83;929
2024.11.05 11:30;2742.83;2742.93;2741.2;2742.13;880
2024.11.05 11:45;2742.14;2742.2;2738.83;2739.91;1074
2024.11.05 12:00;2739.92;2740.04;2737.19;2737.62;1064
2024.11.05 12:15;2737.63;2737.78;2735.6;2737.58;1032
2024.11.05 12:30;2737.69;2740.23;2736.9;2738.85;1144
2024.11.05 12:45;2738.93;2739.52;2737.2;2737.88;844
2024.11.05 13:00;2737.86;2740.44;2737.86;2740.01;879
2024.11.05 13:15;2739.97;2740.91;2738.61;2740.9;904
